Approval Date,Approval Date,Company
2019-01-04,01/04/2019,NVS
2019-01-04,01/04/2019,CTLT
2019-01-07,01/07/2019,GSK
2019-01-10,01/10/2019,NVS
2019-01-10,01/10/2019,NBIX
2019-01-11,01/11/2019,SNY
2019-01-11,01/11/2019,NVS
2019-01-11,01/11/2019,ABBV
2019-01-11,01/11/2019,EQRR
2019-01-14,01/14/2019,EXEL
2019-01-14,01/14/2019,EQRR
2019-01-15,01/15/2019,SCPL
2019-01-15,01/15/2019,LLY
2019-01-16,01/16/2019,JAZZ
2019-01-17,01/17/2019,PFE
2019-01-18,01/18/2019,THTX
2019-01-18,01/18/2019,AMAM
2019-01-18,01/18/2019,SCPL
2019-01-18,01/18/2019,REGN
2019-01-23,01/23/2019,SNY
2019-01-23,01/23/2019,EQRR
2019-01-23,01/23/2019,AMRX
2019-01-23,01/23/2019,GOL
2019-01-25,01/25/2019,GSK
2019-01-25,01/25/2019,GKOS
2019-01-25,01/25/2019,SCPL
2019-01-25,01/25/2019,IPHA
2019-01-30,01/30/2019,LLY
2019-01-30,01/30/2019,AMGN
2019-01-31,01/31/2019,NVS
2019-10-01,10/01/2019,MRK
2019-10-01,10/01/2019,AMGN
2019-10-01,10/01/2019,PBYI
2019-10-03,10/03/2019,LLY
2019-10-03,10/03/2019,OGN
2019-10-03,10/03/2019,GILD
2019-10-03,10/03/2019,AMRX
2019-10-04,10/04/2019,OGN
2019-10-04,10/04/2019,LLY
2019-10-04,10/04/2019,HZNP
2019-10-04,10/04/2019,AMGN
2019-10-06,10/06/2019,NVS
2019-10-07,10/07/2019,BMA.U
2019-10-07,10/07/2019,AGEN
2019-10-07,10/07/2019,JAZZ
2019-10-08,10/08/2019,NVS
2019-10-08,10/08/2019,GOLD
2019-10-08,10/08/2019,LLY
2019-10-09,10/09/2019,PFE
2019-10-09,10/09/2019,RBCN
2019-10-09,10/09/2019,SCPL
2019-10-10,10/10/2019,SCPL
2019-10-11,10/11/2019,AZN
2019-10-11,10/11/2019,LLY
2019-10-16,10/16/2019,BMY
2019-10-17,10/17/2019,SCPL
2019-10-17,10/17/2019,AMGN
2019-10-18,10/18/2019,UTHR
2019-10-18,10/18/2019,GOL
2019-10-18,10/18/2019,AMRX
2019-10-18,10/18/2019,VYNE
2019-10-21,10/21/2019,PFE
2019-10-21,10/21/2019,AMRX
2019-10-21,10/21/2019,NVO
2019-10-22,10/22/2019,LLY
2019-10-22,10/22/2019,PFE
2019-10-22,10/22/2019,PRGO
2019-10-22,10/22/2019,SCPL
2019-10-23,10/23/2019,CHNG
2019-10-23,10/23/2019,GSK
2019-10-23,10/23/2019,AMRX
2019-10-24,10/24/2019,AZN
2019-10-25,10/25/2019,AMRX
2019-10-25,10/25/2019,AMGN
2019-10-28,10/28/2019,PFE
2019-10-28,10/28/2019,LLY
2019-10-28,10/28/2019,TARO
2019-10-28,10/28/2019,CEL.P
2019-10-29,10/29/2019,BHC
2019-10-29,10/29/2019,CEL.P
2019-10-29,10/29/2019,GILD
2019-10-29,10/29/2019,BIIB
2019-10-30,10/30/2019,CTVA
2019-10-30,10/30/2019,SCPL
2019-10-31,10/31/2019,CTVA
2019-10-31,10/31/2019,SCPL
2019-11-01,11/01/2019,CHNG
2019-11-01,11/01/2019,PFE
2019-11-01,11/01/2019,RDHL
2019-11-05,11/05/2019,GSK
2019-11-05,11/05/2019,BHC
2019-11-05,11/05/2019,LLY
2019-11-05,11/05/2019,CORT
2019-11-06,11/06/2019,CEL.P
2019-11-06,11/06/2019,CTVA
2019-11-06,11/06/2019,EQRR
2019-11-06,11/06/2019,SCPL
2019-11-07,11/07/2019,PFE
2019-11-07,11/07/2019,OGN
2019-11-07,11/07/2019,CTVA
2019-11-13,11/13/2019,RBCN
2019-11-14,11/14/2019,MRK
2019-11-14,11/14/2019,TARO
2019-11-14,11/14/2019,HRTG
2019-11-14,11/14/2019,EQRR
2019-11-14,11/14/2019,BGNE
2019-11-15,11/15/2019,LLY
2019-11-15,11/15/2019,GSK
2019-11-15,11/15/2019,CTVA
2019-11-15,11/15/2019,NVO
2019-11-15,11/15/2019,GILD
2019-11-15,11/15/2019,PFE
2019-11-18,11/18/2019,PANA
2019-11-19,11/19/2019,NVS
